Algorithm,10,20,30,100,1000,10000,100000,1000000,2000000
HeapSort,0.0006,0.001,0.0015,0.0039,0.0478,0.617,7.853,98.3416,213.2726
InsertionSort,0.0003,0.0006,0.0007,0.002,0.0832,7.72,728.4947,None,None
MergeSort,0.0015,0.002,0.0026,0.0049,0.0435,0.5488,6.4216,73.0827,153.0105
QuickSort,0.0005,0.0005,0.0012,0.0031,0.0357,0.4635,5.4089,61.8003,131.6157
